id,question,choice(c),correct answer,which concept this question belongs to,times_appeared,times_correct
137,"In the lecture framework, what is the main role of categorical cross-entropy?",A. fits only arbitrary continuous regression without an output activation | B. is the same as freezing a pretrained base | C. is a pooling operation used after convolution | D. fits single-label multiclass problems where the target is one class among several,D,Loss functions,0,0
138,Which statement avoids confusing categorical cross-entropy with another neural-network component?,A. fits single-label multiclass problems where the target is one class among several | B. is a pooling operation used after convolution | C. is the same as freezing a pretrained base | D. fits only arbitrary continuous regression without an output activation,A,Loss functions,0,0
139,Which option best describes softmax during training?,A. converts RGB images into grayscale images | B. selects a hard class before the loss so gradients disappear | C. keeps class scores differentiable and distributes probability mass across classes | D. guarantees no model will overfit,C,Softmax,0,0
140,A classmate asks about softmax during training. Which answer is most accurate?,A. keeps class scores differentiable and distributes probability mass across classes | B. guarantees no model will overfit | C. converts RGB images into grayscale images | D. selects a hard class before the loss so gradients disappear,A,Softmax,0,0
141,"In the lecture framework, what is the main role of softmax during training?",A. converts RGB images into grayscale images | B. selects a hard class before the loss so gradients disappear | C. guarantees no model will overfit | D. keeps class scores differentiable and distributes probability mass across classes,D,Softmax,0,0
142,Which statement avoids confusing softmax during training with another neural-network component?,A. selects a hard class before the loss so gradients disappear | B. converts RGB images into grayscale images | C. keeps class scores differentiable and distributes probability mass across classes | D. guarantees no model will overfit,C,Softmax,0,0
143,Which option best describes scaling pixel values?,A. puts inputs on a smaller numeric scale that can make optimization easier | B. changes a binary task into multiclass classification | C. adds extra labeled examples from the validation set | D. updates the pretrained convolutional weights,A,Preprocessing,1,0
144,A classmate asks about scaling pixel values. Which answer is most accurate?,A. puts inputs on a smaller numeric scale that can make optimization easier | B. updates the pretrained convolutional weights | C. changes a binary task into multiclass classification | D. adds extra labeled examples from the validation set,A,Preprocessing,0,0
145,"In the lecture framework, what is the main role of scaling pixel values?",A. puts inputs on a smaller numeric scale that can make optimization easier | B. changes a binary task into multiclass classification | C. updates the pretrained convolutional weights | D. adds extra labeled examples from the validation set,A,Preprocessing,0,0
146,Which statement avoids confusing scaling pixel values with another neural-network component?,A. adds extra labeled examples from the validation set | B. puts inputs on a smaller numeric scale that can make optimization easier | C. updates the pretrained convolutional weights | D. changes a binary task into multiclass classification,B,Preprocessing,1,0
147,Which option best describes one-hot encoding labels?,A. removes all hidden layers from the model | B. shows which image region caused a prediction | C. represents a class label as a vector with one active class position | D. compresses an image into a latent Gaussian distribution,C,Preprocessing,0,0
148,A classmate asks about one-hot encoding labels. Which answer is most accurate?,A. removes all hidden layers from the model | B. represents a class label as a vector with one active class position | C. shows which image region caused a prediction | D. compresses an image into a latent Gaussian distribution,B,Preprocessing,0,0
149,"In the lecture framework, what is the main role of one-hot encoding labels?",A. compresses an image into a latent Gaussian distribution | B. removes all hidden layers from the model | C. represents a class label as a vector with one active class position | D. shows which image region caused a prediction,C,Preprocessing,0,0
150,Which statement avoids confusing one-hot encoding labels with another neural-network component?,A. removes all hidden layers from the model | B. shows which image region caused a prediction | C. represents a class label as a vector with one active class position | D. compresses an image into a latent Gaussian distribution,C,Preprocessing,0,0
151,Which option best describes the forward pass?,A. samples new labels from the latent space | B. chooses the validation split after training | C. computes model outputs from inputs using current weights | D. updates weights before any prediction is made,C,Forward and backward pass,0,0
152,A classmate asks about the forward pass. Which answer is most accurate?,A. updates weights before any prediction is made | B. computes model outputs from inputs using current weights | C. samples new labels from the latent space | D. chooses the validation split after training,B,Forward and backward pass,0,0
153,"In the lecture framework, what is the main role of the forward pass?",A. samples new labels from the latent space | B. updates weights before any prediction is made | C. chooses the validation split after training | D. computes model outputs from inputs using current weights,D,Forward and backward pass,0,0
154,Which statement avoids confusing the forward pass with another neural-network component?,A. chooses the validation split after training | B. computes model outputs from inputs using current weights | C. samples new labels from the latent space | D. updates weights before any prediction is made,B,Forward and backward pass,1,0
155,Which option best describes backpropagation?,A. stores pretrained features in a CSV file | B. uses the chain rule to compute gradients layer by layer backward from the loss | C. turns class scores into probabilities only at inference | D. uses max pooling to reduce image size,B,Backpropagation,0,0
156,A classmate asks about backpropagation. Which answer is most accurate?,A. uses max pooling to reduce image size | B. uses the chain rule to compute gradients layer by layer backward from the loss | C. turns class scores into probabilities only at inference | D. stores pretrained features in a CSV file,B,Backpropagation,0,0
157,"In the lecture framework, what is the main role of backpropagation?",A. stores pretrained features in a CSV file | B. uses the chain rule to compute gradients layer by layer backward from the loss | C. turns class scores into probabilities only at inference | D. uses max pooling to reduce image size,B,Backpropagation,0,0
158,Which statement avoids confusing backpropagation with another neural-network component?,A. uses max pooling to reduce image size | B. stores pretrained features in a CSV file | C. turns class scores into probabilities only at inference | D. uses the chain rule to compute gradients layer by layer backward from the loss,D,Backpropagation,0,0
159,Which option best describes a multilayer perceptron?,A. requires a 3D image tensor and no dense layers | B. uses only adversarial generator-discriminator training | C. is a padding strategy for convolution | D. uses fully connected hidden layers to learn nonlinear features from vector inputs,D,MLPs,0,0
160,A classmate asks about a multilayer perceptron. Which answer is most accurate?,A. is a padding strategy for convolution | B. uses fully connected hidden layers to learn nonlinear features from vector inputs | C. requires a 3D image tensor and no dense layers | D. uses only adversarial generator-discriminator training,B,MLPs,0,0
161,"In the lecture framework, what is the main role of a multilayer perceptron?",A. requires a 3D image tensor and no dense layers | B. uses only adversarial generator-discriminator training | C. is a padding strategy for convolution | D. uses fully connected hidden layers to learn nonlinear features from vector inputs,D,MLPs,0,0
162,Which statement avoids confusing a multilayer perceptron with another neural-network component?,A. uses only adversarial generator-discriminator training | B. is a padding strategy for convolution | C. requires a 3D image tensor and no dense layers | D. uses fully connected hidden layers to learn nonlinear features from vector inputs,D,MLPs,0,0
163,Which option best describes adding more hidden units to an MLP?,A. guarantees validation loss will always decrease | B. reduces the number of learned parameters to zero | C. turns binary labels into images | D. increases flexibility but can increase overfitting risk,D,MLPs,0,0
164,A classmate asks about adding more hidden units to an MLP. Which answer is most accurate?,A. reduces the number of learned parameters to zero | B. guarantees validation loss will always decrease | C. turns binary labels into images | D. increases flexibility but can increase overfitting risk,D,MLPs,0,0
165,"In the lecture framework, what is the main role of adding more hidden units to an MLP?",A. turns binary labels into images | B. reduces the number of learned parameters to zero | C. increases flexibility but can increase overfitting risk | D. guarantees validation loss will always decrease,C,MLPs,0,0
166,Which statement avoids confusing adding more hidden units to an MLP with another neural-network component?,A. guarantees validation loss will always decrease | B. reduces the number of learned parameters to zero | C. increases flexibility but can increase overfitting risk | D. turns binary labels into images,C,MLPs,0,0
167,Which option best describes L2 regularization?,A. unfreezes all pretrained layers immediately | B. adds a penalty that discourages large weights | C. creates random crops of validation images | D. replaces gradients with class labels,B,Regularization,0,0
168,A classmate asks about L2 regularization. Which answer is most accurate?,A. creates random crops of validation images | B. unfreezes all pretrained layers immediately | C. replaces gradients with class labels | D. adds a penalty that discourages large weights,D,Regularization,0,0
169,"In the lecture framework, what is the main role of L2 regularization?",A. adds a penalty that discourages large weights | B. unfreezes all pretrained layers immediately | C. creates random crops of validation images | D. replaces gradients with class labels,A,Regularization,0,0
170,Which statement avoids confusing L2 regularization with another neural-network component?,A. replaces gradients with class labels | B. adds a penalty that discourages large weights | C. creates random crops of validation images | D. unfreezes all pretrained layers immediately,B,Regularization,0,0
171,Which option best describes L1 regularization?,A. is a discriminator in a GAN | B. makes softmax probabilities sum to more than one | C. is the same as same padding | D. can shrink weights and may push some weights exactly to zero,D,Regularization,0,0
172,A classmate asks about L1 regularization. Which answer is most accurate?,A. is a discriminator in a GAN | B. is the same as same padding | C. makes softmax probabilities sum to more than one | D. can shrink weights and may push some weights exactly to zero,D,Regularization,0,0
173,"In the lecture framework, what is the main role of L1 regularization?",A. can shrink weights and may push some weights exactly to zero | B. makes softmax probabilities sum to more than one | C. is the same as same padding | D. is a discriminator in a GAN,A,Regularization,0,0
174,Which statement avoids confusing L1 regularization with another neural-network component?,A. can shrink weights and may push some weights exactly to zero | B. makes softmax probabilities sum to more than one | C. is the same as same padding | D. is a discriminator in a GAN,A,Regularization,1,0
175,Which option best describes dropout?,A. precomputes convolutional features once | B. randomly sets some activations to zero during training to reduce co-adaptation | C. randomly changes the true labels during testing | D. adds a border of pixels to preserve spatial size,B,Dropout,0,0
176,A classmate asks about dropout. Which answer is most accurate?,A. adds a border of pixels to preserve spatial size | B. randomly sets some activations to zero during training to reduce co-adaptation | C. precomputes convolutional features once | D. randomly changes the true labels during testing,B,Dropout,0,0
177,"In the lecture framework, what is the main role of dropout?",A. adds a border of pixels to preserve spatial size | B. randomly sets some activations to zero during training to reduce co-adaptation | C. precomputes convolutional features once | D. randomly changes the true labels during testing,B,Dropout,0,0
178,Which statement avoids confusing dropout with another neural-network component?,A. randomly changes the true labels during testing | B. randomly sets some activations to zero during training to reduce co-adaptation | C. precomputes convolutional features once | D. adds a border of pixels to preserve spatial size,B,Dropout,0,0
179,Which option best describes early stopping?,A. continues training until training loss is exactly zero | B. stops training near the validation-loss minimum before overfitting worsens | C. uses the test set for gradient updates | D. removes all random mini-batches from SGD,B,Overfitting countermeasures,0,0
180,A classmate asks about early stopping. Which answer is most accurate?,A. stops training near the validation-loss minimum before overfitting worsens | B. continues training until training loss is exactly zero | C. removes all random mini-batches from SGD | D. uses the test set for gradient updates,A,Overfitting countermeasures,0,0
181,"In the lecture framework, what is the main role of early stopping?",A. stops training near the validation-loss minimum before overfitting worsens | B. continues training until training loss is exactly zero | C. removes all random mini-batches from SGD | D. uses the test set for gradient updates,A,Overfitting countermeasures,0,0
182,Which statement avoids confusing early stopping with another neural-network component?,A. stops training near the validation-loss minimum before overfitting worsens | B. continues training until training loss is exactly zero | C. uses the test set for gradient updates | D. removes all random mini-batches from SGD,A,Overfitting countermeasures,0,0
183,Which option best describes reducing model size?,A. changes the target labels from binary to continuous | B. lowers capacity so the model is less able to memorize training-specific noise | C. creates synthetic data through a discriminator | D. increases the number of dense-layer parameters,B,Overfitting countermeasures,0,0
184,A classmate asks about reducing model size. Which answer is most accurate?,A. lowers capacity so the model is less able to memorize training-specific noise | B. increases the number of dense-layer parameters | C. creates synthetic data through a discriminator | D. changes the target labels from binary to continuous,A,Overfitting countermeasures,0,0
185,"In the lecture framework, what is the main role of reducing model size?",A. changes the target labels from binary to continuous | B. increases the number of dense-layer parameters | C. lowers capacity so the model is less able to memorize training-specific noise | D. creates synthetic data through a discriminator,C,Overfitting countermeasures,0,0
186,Which statement avoids confusing reducing model size with another neural-network component?,A. creates synthetic data through a discriminator | B. lowers capacity so the model is less able to memorize training-specific noise | C. increases the number of dense-layer parameters | D. changes the target labels from binary to continuous,B,Overfitting countermeasures,0,0
187,Which option best describes image data augmentation?,A. replaces the need for a validation set | B. should be applied to the test set so it is easier | C. applies label-preserving transformations to training images | D. is the same as one-hot encoding class labels,C,Data augmentation,0,0
188,A classmate asks about image data augmentation. Which answer is most accurate?,A. should be applied to the test set so it is easier | B. is the same as one-hot encoding class labels | C. applies label-preserving transformations to training images | D. replaces the need for a validation set,C,Data augmentation,0,0
189,"In the lecture framework, what is the main role of image data augmentation?",A. should be applied to the test set so it is easier | B. is the same as one-hot encoding class labels | C. replaces the need for a validation set | D. applies label-preserving transformations to training images,D,Data augmentation,0,0
190,Which statement avoids confusing image data augmentation with another neural-network component?,A. is the same as one-hot encoding class labels | B. replaces the need for a validation set | C. applies label-preserving transformations to training images | D. should be applied to the test set so it is easier,C,Data augmentation,0,0
191,Which option best describes using augmentation only on training data?,A. keeps validation and test sets as honest held-out evaluations | B. prevents the CNN from learning local features | C. makes validation examples part of the optimizer updates | D. forces the discriminator to call every image real,A,Data augmentation,0,0
192,A classmate asks about using augmentation only on training data. Which answer is most accurate?,A. keeps validation and test sets as honest held-out evaluations | B. prevents the CNN from learning local features | C. makes validation examples part of the optimizer updates | D. forces the discriminator to call every image real,A,Data augmentation,0,0
193,"In the lecture framework, what is the main role of using augmentation only on training data?",A. makes validation examples part of the optimizer updates | B. keeps validation and test sets as honest held-out evaluations | C. prevents the CNN from learning local features | D. forces the discriminator to call every image real,B,Data augmentation,0,0
194,Which statement avoids confusing using augmentation only on training data with another neural-network component?,A. forces the discriminator to call every image real | B. keeps validation and test sets as honest held-out evaluations | C. prevents the CNN from learning local features | D. makes validation examples part of the optimizer updates,B,Data augmentation,0,0
195,Which option best describes a convolutional layer?,A. calculates the validation split | B. selects the final class with no trainable parameters | C. randomly turns off dense units | D. learns filters that detect local patterns across spatial locations,D,CNN components,0,0
196,A classmate asks about a convolutional layer. Which answer is most accurate?,A. selects the final class with no trainable parameters | B. learns filters that detect local patterns across spatial locations | C. randomly turns off dense units | D. calculates the validation split,B,CNN components,0,0
197,"In the lecture framework, what is the main role of a convolutional layer?",A. learns filters that detect local patterns across spatial locations | B. calculates the validation split | C. randomly turns off dense units | D. selects the final class with no trainable parameters,A,CNN components,0,0
198,Which statement avoids confusing a convolutional layer with another neural-network component?,A. learns filters that detect local patterns across spatial locations | B. randomly turns off dense units | C. selects the final class with no trainable parameters | D. calculates the validation split,A,CNN components,0,0
199,Which option best describes a pooling layer?,A. computes the optimizer update | B. summarizes nearby activations and often reduces spatial size | C. learns a separate dense weight for every output class only | D. maps latent vectors to fake images in a GAN,B,CNN components,0,0
200,A classmate asks about a pooling layer. Which answer is most accurate?,A. maps latent vectors to fake images in a GAN | B. computes the optimizer update | C. summarizes nearby activations and often reduces spatial size | D. learns a separate dense weight for every output class only,C,CNN components,0,0
201,"In the lecture framework, what is the main role of a pooling layer?",A. computes the optimizer update | B. maps latent vectors to fake images in a GAN | C. learns a separate dense weight for every output class only | D. summarizes nearby activations and often reduces spatial size,D,CNN components,0,0
202,Which statement avoids confusing a pooling layer with another neural-network component?,A. summarizes nearby activations and often reduces spatial size | B. learns a separate dense weight for every output class only | C. computes the optimizer update | D. maps latent vectors to fake images in a GAN,A,CNN components,0,0
203,Which option best describes a dense layer after convolution?,A. measures whether generated images are real | B. combines extracted features to support final prediction | C. adds random Gaussian noise to VAE sampling | D. slides a small kernel across the raw image,B,CNN components,0,0
204,A classmate asks about a dense layer after convolution. Which answer is most accurate?,A. adds random Gaussian noise to VAE sampling | B. slides a small kernel across the raw image | C. measures whether generated images are real | D. combines extracted features to support final prediction,D,CNN components,0,0
205,"In the lecture framework, what is the main role of a dense layer after convolution?",A. slides a small kernel across the raw image | B. measures whether generated images are real | C. combines extracted features to support final prediction | D. adds random Gaussian noise to VAE sampling,C,CNN components,0,0
206,Which statement avoids confusing a dense layer after convolution with another neural-network component?,A. combines extracted features to support final prediction | B. measures whether generated images are real | C. adds random Gaussian noise to VAE sampling | D. slides a small kernel across the raw image,A,CNN components,1,0
207,Which option best describes parameter sharing in convolution?,A. uses different labels for each pixel location | B. shares training examples between train and test sets | C. makes all filters non-trainable | D. uses the same filter weights at many image locations,D,Convolution,0,0
208,A classmate asks about parameter sharing in convolution. Which answer is most accurate?,A. makes all filters non-trainable | B. uses different labels for each pixel location | C. uses the same filter weights at many image locations | D. shares training examples between train and test sets,C,Convolution,0,0
209,"In the lecture framework, what is the main role of parameter sharing in convolution?",A. uses different labels for each pixel location | B. shares training examples between train and test sets | C. uses the same filter weights at many image locations | D. makes all filters non-trainable,C,Convolution,0,0
210,Which statement avoids confusing parameter sharing in convolution with another neural-network component?,A. uses the same filter weights at many image locations | B. shares training examples between train and test sets | C. uses different labels for each pixel location | D. makes all filters non-trainable,A,Convolution,0,0
211,Which option best describes sparse connectivity in convolution?,A. requires the learning rate to be zero | B. removes all biases from dense layers | C. makes the latent space perfectly regular by itself | D. connects filters to local patches rather than every input pixel at once,D,Convolution,0,0
212,A classmate asks about sparse connectivity in convolution. Which answer is most accurate?,A. makes the latent space perfectly regular by itself | B. requires the learning rate to be zero | C. connects filters to local patches rather than every input pixel at once | D. removes all biases from dense layers,C,Convolution,0,0
213,"In the lecture framework, what is the main role of sparse connectivity in convolution?",A. connects filters to local patches rather than every input pixel at once | B. makes the latent space perfectly regular by itself | C. requires the learning rate to be zero | D. removes all biases from dense layers,A,Convolution,0,0
214,Which statement avoids confusing sparse connectivity in convolution with another neural-network component?,A. makes the latent space perfectly regular by itself | B. connects filters to local patches rather than every input pixel at once | C. removes all biases from dense layers | D. requires the learning rate to be zero,B,Convolution,0,0
215,Which option best describes translation equivariance?,A. class probabilities must always be equal | B. a shifted input feature tends to produce a shifted response | C. the model ignores all rotations and scale changes automatically | D. the optimizer stops after one batch,B,Convolution,0,0
216,A classmate asks about translation equivariance. Which answer is most accurate?,A. the optimizer stops after one batch | B. the model ignores all rotations and scale changes automatically | C. a shifted input feature tends to produce a shifted response | D. class probabilities must always be equal,C,Convolution,0,0
217,"In the lecture framework, what is the main role of translation equivariance?",A. class probabilities must always be equal | B. the model ignores all rotations and scale changes automatically | C. a shifted input feature tends to produce a shifted response | D. the optimizer stops after one batch,C,Convolution,0,0
218,Which statement avoids confusing translation equivariance with another neural-network component?,A. a shifted input feature tends to produce a shifted response | B. the optimizer stops after one batch | C. the model ignores all rotations and scale changes automatically | D. class probabilities must always be equal,A,Convolution,0,0
219,Which option best describes valid padding?,A. randomly deletes hidden units | B. forces the output to be a probability | C. adds enough border to preserve output size | D. uses no added border and often produces smaller spatial outputs,D,Padding and strides,0,0
220,A classmate asks about valid padding. Which answer is most accurate?,A. uses no added border and often produces smaller spatial outputs | B. randomly deletes hidden units | C. adds enough border to preserve output size | D. forces the output to be a probability,A,Padding and strides,0,0
221,"In the lecture framework, what is the main role of valid padding?",A. randomly deletes hidden units | B. adds enough border to preserve output size | C. uses no added border and often produces smaller spatial outputs | D. forces the output to be a probability,C,Padding and strides,0,0
222,Which statement avoids confusing valid padding with another neural-network component?,A. uses no added border and often produces smaller spatial outputs | B. randomly deletes hidden units | C. forces the output to be a probability | D. adds enough border to preserve output size,A,Padding and strides,0,0
223,Which option best describes same padding?,A. adds border values so spatial dimensions can be preserved | B. trains the discriminator to identify fake images | C. stores the original labels as integers only | D. removes the need for convolutional filters,A,Padding and strides,0,0
224,A classmate asks about same padding. Which answer is most accurate?,A. adds border values so spatial dimensions can be preserved | B. trains the discriminator to identify fake images | C. stores the original labels as integers only | D. removes the need for convolutional filters,A,Padding and strides,0,0
225,"In the lecture framework, what is the main role of same padding?",A. adds border values so spatial dimensions can be preserved | B. removes the need for convolutional filters | C. trains the discriminator to identify fake images | D. stores the original labels as integers only,A,Padding and strides,0,0
226,Which statement avoids confusing same padding with another neural-network component?,A. adds border values so spatial dimensions can be preserved | B. stores the original labels as integers only | C. trains the discriminator to identify fake images | D. removes the need for convolutional filters,A,Padding and strides,0,0
227,Which option best describes a stride of 2?,A. makes the loss function non-differentiable | B. freezes all dense classifier layers | C. doubles the number of classes in the target | D. moves the filter two positions at a time and downsamples the output,D,Padding and strides,0,0
228,A classmate asks about a stride of 2. Which answer is most accurate?,A. freezes all dense classifier layers | B. doubles the number of classes in the target | C. moves the filter two positions at a time and downsamples the output | D. makes the loss function non-differentiable,C,Padding and strides,0,0
229,"In the lecture framework, what is the main role of a stride of 2?",A. freezes all dense classifier layers | B. doubles the number of classes in the target | C. makes the loss function non-differentiable | D. moves the filter two positions at a time and downsamples the output,D,Padding and strides,0,0
230,Which statement avoids confusing a stride of 2 with another neural-network component?,A. moves the filter two positions at a time and downsamples the output | B. doubles the number of classes in the target | C. freezes all dense classifier layers | D. makes the loss function non-differentiable,A,Padding and strides,0,0
231,Which option best describes max pooling?,A. encodes the input as a mean and variance | B. learns a unique weight for every possible class label | C. takes the largest activation in a local window for each channel | D. turns logits into a probability distribution,C,Pooling,0,0
232,A classmate asks about max pooling. Which answer is most accurate?,A. learns a unique weight for every possible class label | B. encodes the input as a mean and variance | C. takes the largest activation in a local window for each channel | D. turns logits into a probability distribution,C,Pooling,0,0
233,"In the lecture framework, what is the main role of max pooling?",A. encodes the input as a mean and variance | B. takes the largest activation in a local window for each channel | C. turns logits into a probability distribution | D. learns a unique weight for every possible class label,B,Pooling,0,0
234,Which statement avoids confusing max pooling with another neural-network component?,A. encodes the input as a mean and variance | B. learns a unique weight for every possible class label | C. turns logits into a probability distribution | D. takes the largest activation in a local window for each channel,D,Pooling,0,0
235,Which option best describes the channel axis in an RGB image?,"A. is the number of validation examples | B. is the count of GAN discriminators | C. has depth 3 for red, green, and blue channels | D. is always equal to the batch size",C,CNN tensors,0,0
236,A classmate asks about the channel axis in an RGB image. Which answer is most accurate?,"A. is the number of validation examples | B. has depth 3 for red, green, and blue channels | C. is the count of GAN discriminators | D. is always equal to the batch size",B,CNN tensors,0,0
237,"In the lecture framework, what is the main role of the channel axis in an RGB image?","A. is the number of validation examples | B. has depth 3 for red, green, and blue channels | C. is always equal to the batch size | D. is the count of GAN discriminators",B,CNN tensors,0,0
238,Which statement avoids confusing the channel axis in an RGB image with another neural-network component?,"A. is the count of GAN discriminators | B. has depth 3 for red, green, and blue channels | C. is the number of validation examples | D. is always equal to the batch size",B,CNN tensors,0,0
239,Which option best describes the output depth of a convolutional layer?,A. equals the number of filters applied by that layer | B. is the binary cross-entropy value | C. equals the number of epochs already trained | D. must always be 3 for every CNN layer,A,CNN tensors,0,0
240,A classmate asks about the output depth of a convolutional layer. Which answer is most accurate?,A. is the binary cross-entropy value | B. equals the number of filters applied by that layer | C. equals the number of epochs already trained | D. must always be 3 for every CNN layer,B,CNN tensors,0,0
241,"In the lecture framework, what is the main role of the output depth of a convolutional layer?",A. equals the number of filters applied by that layer | B. must always be 3 for every CNN layer | C. equals the number of epochs already trained | D. is the binary cross-entropy value,A,CNN tensors,1,0
242,Which statement avoids confusing the output depth of a convolutional layer with another neural-network component?,A. equals the number of filters applied by that layer | B. must always be 3 for every CNN layer | C. is the binary cross-entropy value | D. equals the number of epochs already trained,A,CNN tensors,0,0
243,Which option best describes a convolutional layer parameter count?,"A. is always larger than every dense layer | B. depends only on the number of training examples | C. is determined by the validation accuracy | D. depends on filter width, filter height, input depth, number of filters, and biases",D,CNN parameter counts,1,0
244,A classmate asks about a convolutional layer parameter count. Which answer is most accurate?,"A. is determined by the validation accuracy | B. depends on filter width, filter height, input depth, number of filters, and biases | C. depends only on the number of training examples | D. is always larger than every dense layer",B,CNN parameter counts,0,0
245,"In the lecture framework, what is the main role of a convolutional layer parameter count?","A. depends on filter width, filter height, input depth, number of filters, and biases | B. is always larger than every dense layer | C. depends only on the number of training examples | D. is determined by the validation accuracy",A,CNN parameter counts,0,0
246,Which statement avoids confusing a convolutional layer parameter count with another neural-network component?,"A. is determined by the validation accuracy | B. depends only on the number of training examples | C. is always larger than every dense layer | D. depends on filter width, filter height, input depth, number of filters, and biases",D,CNN parameter counts,0,0
247,Which option best describes a dense layer parameter count?,A. is input units times output units plus one bias per output unit | B. is always zero after freezing a CNN base | C. is the same as the batch size | D. is filter width times filter height only,A,CNN parameter counts,0,0
248,A classmate asks about a dense layer parameter count. Which answer is most accurate?,A. is input units times output units plus one bias per output unit | B. is filter width times filter height only | C. is always zero after freezing a CNN base | D. is the same as the batch size,A,CNN parameter counts,0,0
249,"In the lecture framework, what is the main role of a dense layer parameter count?",A. is always zero after freezing a CNN base | B. is input units times output units plus one bias per output unit | C. is the same as the batch size | D. is filter width times filter height only,B,CNN parameter counts,0,0
250,Which statement avoids confusing a dense layer parameter count with another neural-network component?,A. is filter width times filter height only | B. is input units times output units plus one bias per output unit | C. is always zero after freezing a CNN base | D. is the same as the batch size,B,CNN parameter counts,0,0
251,Which option best describes a pretrained convolutional base?,A. provides reusable visual features learned from a large dataset | B. creates new labels for the target task automatically | C. is the same thing as a final softmax classifier | D. guarantees no domain mismatch can occur,A,Transfer learning,0,0
252,A classmate asks about a pretrained convolutional base. Which answer is most accurate?,A. is the same thing as a final softmax classifier | B. creates new labels for the target task automatically | C. provides reusable visual features learned from a large dataset | D. guarantees no domain mismatch can occur,C,Transfer learning,0,0
253,"In the lecture framework, what is the main role of a pretrained convolutional base?",A. is the same thing as a final softmax classifier | B. guarantees no domain mismatch can occur | C. provides reusable visual features learned from a large dataset | D. creates new labels for the target task automatically,C,Transfer learning,0,0
254,Which statement avoids confusing a pretrained convolutional base with another neural-network component?,A. creates new labels for the target task automatically | B. is the same thing as a final softmax classifier | C. guarantees no domain mismatch can occur | D. provides reusable visual features learned from a large dataset,D,Transfer learning,1,0
255,Which option best describes feature extraction without augmented data?,A. keeps the base inside the model so every augmented image passes through it | B. unfreezes every pretrained layer before classifier training | C. uses a discriminator to judge generated images | D. runs the pretrained base once and trains a classifier on saved features,D,Transfer learning,0,0
256,A classmate asks about feature extraction without augmented data. Which answer is most accurate?,A. uses a discriminator to judge generated images | B. unfreezes every pretrained layer before classifier training | C. runs the pretrained base once and trains a classifier on saved features | D. keeps the base inside the model so every augmented image passes through it,C,Transfer learning,0,0
257,"In the lecture framework, what is the main role of feature extraction without augmented data?",A. runs the pretrained base once and trains a classifier on saved features | B. keeps the base inside the model so every augmented image passes through it | C. uses a discriminator to judge generated images | D. unfreezes every pretrained layer before classifier training,A,Transfer learning,0,0
258,Which statement avoids confusing feature extraction without augmented data with another neural-network component?,A. keeps the base inside the model so every augmented image passes through it | B. unfreezes every pretrained layer before classifier training | C. uses a discriminator to judge generated images | D. runs the pretrained base once and trains a classifier on saved features,D,Transfer learning,0,0
259,Which option best describes feature extraction with augmented data?,A. saves one feature vector per original image and never reruns the base | B. removes the classifier and trains nothing | C. keeps a frozen pretrained base in the model so augmented images are processed during training | D. uses only tabular transformations,C,Transfer learning,1,0
260,A classmate asks about feature extraction with augmented data. Which answer is most accurate?,A. uses only tabular transformations | B. removes the classifier and trains nothing | C. saves one feature vector per original image and never reruns the base | D. keeps a frozen pretrained base in the model so augmented images are processed during training,D,Transfer learning,0,0
261,"In the lecture framework, what is the main role of feature extraction with augmented data?",A. saves one feature vector per original image and never reruns the base | B. keeps a frozen pretrained base in the model so augmented images are processed during training | C. uses only tabular transformations | D. removes the classifier and trains nothing,B,Transfer learning,1,0
262,Which statement avoids confusing feature extraction with augmented data with another neural-network component?,A. uses only tabular transformations | B. keeps a frozen pretrained base in the model so augmented images are processed during training | C. saves one feature vector per original image and never reruns the base | D. removes the classifier and trains nothing,B,Transfer learning,0,0
263,Which option best describes fine-tuning?,A. unfreezes a few top pretrained layers after the new classifier has been trained | B. trains the original ImageNet classifier unchanged | C. freezes the output predictions instead of weights | D. always starts by unfreezing the entire base,A,Fine-tuning,1,0
264,A classmate asks about fine-tuning. Which answer is most accurate?,A. trains the original ImageNet classifier unchanged | B. always starts by unfreezing the entire base | C. freezes the output predictions instead of weights | D. unfreezes a few top pretrained layers after the new classifier has been trained,D,Fine-tuning,0,0
265,"In the lecture framework, what is the main role of fine-tuning?",A. unfreezes a few top pretrained layers after the new classifier has been trained | B. always starts by unfreezing the entire base | C. freezes the output predictions instead of weights | D. trains the original ImageNet classifier unchanged,A,Fine-tuning,0,0
266,Which statement avoids confusing fine-tuning with another neural-network component?,A. trains the original ImageNet classifier unchanged | B. freezes the output predictions instead of weights | C. unfreezes a few top pretrained layers after the new classifier has been trained | D. always starts by unfreezing the entire base,C,Fine-tuning,0,0
267,Which option best describes why top layers are fine-tuned?,A. top layers contain the raw pixels | B. fine-tuning only changes the validation labels | C. top layers encode more specialized features that may need task adjustment | D. bottom layers have no generic edge detectors,C,Fine-tuning,0,0
268,A classmate asks about why top layers are fine-tuned. Which answer is most accurate?,A. top layers encode more specialized features that may need task adjustment | B. bottom layers have no generic edge detectors | C. fine-tuning only changes the validation labels | D. top layers contain the raw pixels,A,Fine-tuning,0,0
269,"In the lecture framework, what is the main role of why top layers are fine-tuned?",A. bottom layers have no generic edge detectors | B. top layers contain the raw pixels | C. top layers encode more specialized features that may need task adjustment | D. fine-tuning only changes the validation labels,C,Fine-tuning,1,0
